iter	Passed	Remaining
0	1	163
1	2	146
2	4	147
3	5	136
4	6	132
5	8	133
6	10	133
7	11	132
8	12	131
9	14	131
10	16	129
11	17	128
12	18	126
13	20	124
14	21	122
15	23	120
16	24	119
17	25	117
18	27	116
19	28	114
20	29	112
21	31	110
22	32	110
23	34	108
24	35	107
25	37	106
26	38	105
27	40	103
28	41	101
29	42	100
30	44	98
31	45	97
32	47	95
33	48	94
34	49	92
35	51	91
36	52	89
37	54	88
38	55	86
39	56	85
40	57	83
41	58	80
42	59	79
43	61	77
44	62	76
45	64	75
46	65	74
47	67	72
48	69	71
49	70	70
50	71	69
51	73	67
52	74	66
53	76	65
54	77	63
55	78	62
56	80	60
57	81	59
58	83	57
59	84	56
60	86	55
61	87	53
62	89	52
63	90	50
64	92	49
65	93	48
66	95	46
67	96	45
68	98	44
69	99	42
70	100	41
71	102	39
72	103	38
73	105	37
74	106	35
75	108	34
76	109	32
77	110	31
78	111	29
79	113	28
80	114	26
81	115	25
82	117	23
83	118	22
84	119	21
85	120	19
86	121	18
87	123	16
88	124	15
89	125	13
90	127	12
91	128	11
92	129	9
93	131	8
94	132	6
95	133	5
96	134	4
97	136	2
98	137	1
99	138	0
